model,price,reviews,sells,url,vendor
TL-WA850RE,167,(8811),87,https://produto.mercadolivre.com.br/MLB-976249921-repetidor-expansor-tp-link-wi-fi-network-300mbps-tl-wa850re-_JM,TP-Link
Archer,757.12,(143),8,https://produto.mercadolivre.com.br/MLB-2015068196-roteador-wifi-6-dual-band-gigabit-archer-ax50-_JM,TP-Link
TL-WA855RE,188,(1816),117,https://produto.mercadolivre.com.br/MLB-1813487847-repetidor-extensor-de-sinal-sem-fio-tp-link-wa-855re-300mbps-_JM,TP-Link
Archer,267.12,(6703),90,https://produto.mercadolivre.com.br/MLB-1285566515-roteador-tp-link-wireless-dual-band-ac-1350-archer-c60-_JM,TP-Link
Wireless N150,450,(165),5,https://produto.mercadolivre.com.br/MLB-2055734413-kit-3-extensor-wireless-d-link-n150-powerline-dhp-w221av-_JM,D-Link
RF 301K,132.90,(1093),3,https://produto.mercadolivre.com.br/MLB-1517787162-roteador-wifi-300mbps-intelbras-rf-301k-2-antenas-_JM,Intelbras
ACtion,209,(1501),23,https://produto.mercadolivre.com.br/MLB-1825912201-roteador-intelbras-action-rf-1200-preto-100v240v-_JM,Intelbras
Deco M5,625.50,(141),1,https://produto.mercadolivre.com.br/MLB-1938381221-roteador-tp-link-wireless-ac1300-cx-1-un-deco-m5-_JM,TP-Link
Twibi Giga,439,(454),56,https://produto.mercadolivre.com.br/MLB-1875840874-1-roteador-wi-fi-mesh-intelbras-twibi-giga-original-intelbra-_JM,Intelbras
Space,283,(13),2,https://produto.mercadolivre.com.br/MLB-2642479600-roteador-wi-fi-mesh-zte-zt199-space-branco-giga-101001000-_JM,ZTE
RE017,487.90,(30),4,https://produto.mercadolivre.com.br/MLB-1791344685-roteador-wireless-draco-ac1200-5-antenas-multilaser-re017-_JM,Multilaser
TP-Link,499,(141),1,https://produto.mercadolivre.com.br/MLB-2787118623-roteador-tp-link-deco-m5-1267mbps-dual-band-01-unidade-_JM,M5
300mbps,57.99,(6),78,https://produto.mercadolivre.com.br/MLB-1888948231-repetidor-de-sinal-amplificador-wireless-wifi-300mbps-barato-_JM,Repetidor
Mi,109.99,(1074),4,https://produto.mercadolivre.com.br/MLB-2644639839-repetidor-sinal-wi-fi-xiaomi-mi-range-pro-r03-bi-volt-_JM,Xiaomi
AC10,242,(252),6,https://produto.mercadolivre.com.br/MLB-2709574191-roteador-wireless-mu-mimo-ac1200-gigabit-dual-band-wifi-ac10-_JM,Tenda
AP 360,639.90,(146),3,https://produto.mercadolivre.com.br/MLB-1343378412-access-point-corporativo-intelbras-ap360-sem-fio-wisefi-_JM,Intelbras
