vendor,model,price,reviews,sells,url
TP-Link,Archer c60,229,6714,69255,https://www.mercadolivre.com.br/roteador-access-point-tp-link-archer-c60-branco/p/MLB6365530?pdp_filters=category:MLB5867
TP-Link,Archer C20,146,4972,32469,https://www.mercadolivre.com.br/roteador-tp-link-archer-c20-azul-e-branco-100v240v/p/MLB6186907?pdp_filters=category:MLB5867
Multilaser,Digi-Health,124.02,4442,81559,https://www.mercadolivre.com.br/balanca-corporal-digital-multilaser-digi-health-preta-ate-180-kg/p/MLB15276123?pdp_filters=category:MLB5867
TP-Link,TL-WR849N,100,3582,26860,https://www.mercadolivre.com.br/roteador-tp-link-tl-wr849n-branco-e-prata-110v220v/p/MLB8063126?pdp_filters=category:MLB5867
TP-Link,TL-WR941HP,315,3217,24425,https://www.mercadolivre.com.br/roteador-access-point-range-extender-tp-link-tl-wr941hp-preto/p/MLB6315548?pdp_filters=category:MLB5867
TP-Link,TL-WR840N,97,2462,67753,https://www.mercadolivre.com.br/roteador-tp-link-tl-wr840n-branco/p/MLB15314118?pdp_filters=category:MLB5867
TP-Link,TL-WR949N,155,2438,19886,https://www.mercadolivre.com.br/roteador-tp-link-tl-wr949n-preto/p/MLB9141025?pdp_filters=category:MLB5867
TP-Link,Archer C6,269,2369,63129,https://www.mercadolivre.com.br/access-point-roteador-tp-link-archer-c6-preto-220v/p/MLB14591620?pdp_filters=category:MLB5867
Intelbras,RG1200,374.99,2128,1954,https://produto.mercadolivre.com.br/MLB-1921762950-roteador-wifi-gigabit-intelbras-rg1200-potente-quebra-parede-_JM
TP-Link,TL-WR841HP,274.32,2111,6988,https://www.mercadolivre.com.br/roteador-access-point-range-extender-tp-link-tl-wr841hp-preto/p/MLB6068230?pdp_filters=category:MLB5867
Intelbras,HotSpot 300,419,1678,15913,https://www.mercadolivre.com.br/roteador-intelbras-hotspot-300-branco/p/MLB6079819?pdp_filters=category:MLB5867
Multilaser,AU607,75.47,1665,29418,https://www.mercadolivre.com.br/aspirador-de-po-multilaser-au607-vermelho-e-preto-12v/p/MLB15976946?pdp_filters=category:MLB5867
Multilaser,RE163,109.9,1541,36964,https://www.mercadolivre.com.br/roteador-multilaser-re163-branco-110v220v/p/MLB6248203?pdp_filters=category:MLB5867
D-Link,DIR-819,123.12,1535,20981,https://www.mercadolivre.com.br/roteador-d-link-dir-819-preto-110v220v/p/MLB9452636?pdp_filters=category:MLB5867
Intelbras,RF1200,199.9,1350,104,https://produto.mercadolivre.com.br/MLB-1893555425-roteador-intelbras-rf-1200-wireless-action-smart-dual-band-_JM
Mercusys,MW301R,79.49,1229,76031,https://www.mercadolivre.com.br/roteador-mercusys-mw301r-v1-branco-220v/p/MLB11426701?pdp_filters=category:MLB5867
TP-Link,Archer c50,189.19,1130,23037,https://www.mercadolivre.com.br/roteador-access-point-tp-link-archer-c50-v4-branco-220v/p/MLB15304684?pdp_filters=category:MLB5867
TP-Link,Deco M5,1270,1112,30995,https://www.mercadolivre.com.br/access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-m5-branco-100v240v-3-unidades/p/MLB8063122?pdp_filters=category:MLB5867
Intelbras,RF 301K,115.9,1033,1141,https://produto.mercadolivre.com.br/MLB-1741785802-roteador-wifi-wireless-rf-301k-300mbps-24-ghz-intelbras-_JM
TP-Link,RE200,170,887,13921,https://www.mercadolivre.com.br/range-extender-access-point-wmm-tp-link-re200-v4-branco-220v/p/MLB18240006?pdp_filters=category:MLB5867
TP-Link,TL-WPA4220,229.87,862,8338,https://www.mercadolivre.com.br/adaptador-powerline-tp-link-tl-wpa4220-branco/p/MLB7868088?pdp_filters=category:MLB5867
TP-Link,TD-W8961N,223.47,765,1229,https://www.mercadolivre.com.br/modem-roteador-com-wifi-tp-link-td-w8961n-branco/p/MLB15405350?pdp_filters=category:MLB5867
MikroTik,RouterBOARD,465,712,22866,https://www.mercadolivre.com.br/roteador-mikrotik-routerboard-hex-rb750gr3-branco-e-azul-turquesa-100v240v/p/MLB7901943?pdp_filters=category:MLB5867
TP-Link,Archer C21,199,710,1630,https://produto.mercadolivre.com.br/MLB-1691454188-roteador-wi-fi-dual-band-433-mbps-archer-c21-ac750-tp-link-_JM
TP-Link,Archer,260.46,687,32484,https://www.mercadolivre.com.br/roteador-wds-bridge-tp-link-archer-c5-w-v4-branco/p/MLB15386549?pdp_filters=category:MLB5867
MikroTik,RouterBOARD,189.7,684,6056,https://www.mercadolivre.com.br/access-point-indoor-mikrotik-routerboard-hap-lite-rb941-2nd-tc-azul-e-branco/p/MLB8734740?pdp_filters=category:MLB5867
D-Link,DIR-615,99.99,667,272,https://produto.mercadolivre.com.br/MLB-1901812626-roteador-dlink-dir-615-x1-wi-fi-300mbps-tr-069-2-antenas-_JM
D-Link,Dir-842,216.8,665,1867,https://produto.mercadolivre.com.br/MLB-1537854514-roteador-wireless-d-link-ac1200-dir-842-dual-band-gigabit-_JM
TP-Link,TL-PA4010 KIT,797,630,3800,https://www.mercadolivre.com.br/adaptador-powerline-tp-link-tl-pa4010-kit-branco-e-cinza-110v220v-2-unidades/p/MLB11711528?pdp_filters=category:MLB5867
Intelbras,Kit Twibi Giga,518,612,10327,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-roteador-intelbras-kit-twibi-giga-branco-100v240v-2-unidades/p/MLB15349885?pdp_filters=category:MLB5867
Mercusys,AC12G,205,602,17821,https://www.mercadolivre.com.br/roteador-mercusys-ac12g-v1-preto-220v/p/MLB18458556?pdp_filters=category:MLB5867
TP-Link,Deco M4,645,587,10342,https://www.mercadolivre.com.br/access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-m4-branco-100v240v-2-unidades/p/MLB16001437?pdp_filters=category:MLB5867
Ubiquiti,UniFi,719,559,36723,https://www.mercadolivre.com.br/access-point-indoor-wmm-ubiquiti-unifi-ac-lite-ap-uap-ac-lite-branco-220v/p/MLB6186905?pdp_filters=category:MLB5867
TP-Link,AC21,149,553,44,https://produto.mercadolivre.com.br/MLB-1874206377-roteador-wireless-dual-band-ac750-cfunco-preset-archer-c21-_JM
Tenda,AC10,261.9,547,349,https://produto.mercadolivre.com.br/MLB-1855472050-roteador-gigabit-tenda-ac10-dual-band-ac1200-mbps-ac10-_JM
TP-Link,Archer C80,360,531,10498,https://www.mercadolivre.com.br/access-point-roteador-tp-link-archer-c80-v1-preto-220v/p/MLB15904250?pdp_filters=category:MLB5867
Greatek,GWR1200,284.05,512,80,https://produto.mercadolivre.com.br/MLB-2152168929-modem-roteador-wifi-internet-gwr1200ac-mont-branco-greatek-_JM
Multilaser,RE018,126,466,10771,https://www.mercadolivre.com.br/roteador-multilaser-re018-preto-110v220v/p/MLB15344292?pdp_filters=category:MLB5867
Multilaser,Cosmo,348.9,452,6535,https://www.mercadolivre.com.br/sistema-wi-fi-mesh-multilaser-cosmo-re010-branco-2-unidades/p/MLB15345756?pdp_filters=category:MLB5867
Intelbras,Twibi Giga,339.9,437,19200,https://www.mercadolivre.com.br/roteador-sistema-wi-fi-mesh-intelbras-twibi-giga-branco-100v240v/p/MLB15341427?pdp_filters=category:MLB5867
Tenda,ac6,252.75,427,284,https://produto.mercadolivre.com.br/MLB-1101754456-roteador-wireless-wifi-tenda-dual-band-1200mpbs-envios-24hs-_JM
TP-Link,Deco E4,621.37,423,12830,https://www.mercadolivre.com.br/access-point-roteador-sistema-wi-fi-mesh-tp-link-deco-e4-branco-100v240v-2-unidades/p/MLB16014890?pdp_filters=category:MLB5867
TP-Link,TL-R470T+,219.89,420,6064,https://www.mercadolivre.com.br/roteador-tp-link-tl-r470t-preto-110v220v/p/MLB7868092?pdp_filters=category:MLB5867
TP-Link,EC220-G5,246,414,14113,https://www.mercadolivre.com.br/roteador-tp-link-ec220-g5-branco-110v220v/p/MLB16268838?pdp_filters=category:MLB5867
Multilaser,RE018,159,400,25,https://produto.mercadolivre.com.br/MLB-2083231855-roteador-wifi-wireless-ac-1200-100mb-4-antenas-dual-band-_JM
TP-Link,TL-WR829N,85.9,397,18467,https://www.mercadolivre.com.br/access-point-roteador-range-extender-wisp-tp-link-tl-wr829n-branco/p/MLB16067272?pdp_filters=category:MLB5867
TP-Link,Archer,269,376,5456,https://www.mercadolivre.com.br/roteador-access-point-tp-link-archer-c6-v2-preto-220v/p/MLB15910376?pdp_filters=category:MLB5867
Ubiquiti,UniFi,1779,369,4606,https://www.mercadolivre.com.br/access-point-indoor-wmm-ubiquiti-unifi-uap-branco-220v/p/MLB6235088?pdp_filters=category:MLB5867
MikroTik,RouterBOARD,1199,367,6889,https://www.mercadolivre.com.br/roteador-bridge-mikrotik-routerboard-rb3011uias-rm-preto-100v240v/p/MLB6364662?pdp_filters=category:MLB5867
Ubiquiti,UniFi,1349.99,365,27784,https://www.mercadolivre.com.br/access-point-indoor-ubiquiti-unifi-uap-ac-lr-branco/p/MLB7953376?pdp_filters=category:MLB5867
