model,price,reviews,url,vendor
Roteador Wireless Tp-link Deco M4 Ac1200 1200mbps 2 Pe&ccedil,as,"R$ 899,55",,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-tp-link-deco-m4-ac1200-1200mbps-2-pe-ccedil-as
TL-WA850RE,"R$ 112,62",139984,https://www.buscape.com.br/modem-e-roteador/access-point-wireless-300-mbps-tl-wa850re-tp-link,TP-Link
Deco M5,"R$ 550,48",21132,https://www.buscape.com.br/modem-e-roteador/roteador-867-mbps-tp-link-deco-m5,TP-Link
RE200 V1,Bom custo benefício,19756,https://www.buscape.com.br/modem-e-roteador/repetidor-750-mbps-re200-tp-link,TP-Link
TL-WR940N V3,"R$ 153,35",19176,https://www.buscape.com.br/modem-e-roteador/roteador-450-mbps-tp-link-tl-wr940n-v3,TP-Link
Archer C7,"R$ 414,19",17342,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-450-mbps-archer-c7-tp-link,TP-Link
RE450,"R$ 426,68",14917,https://www.buscape.com.br/modem-e-roteador/repetidor-1300-mbps-tp-link-re450,TP-Link
Archer C60,"R$ 219,86",14552,https://www.buscape.com.br/modem-e-roteador/roteador-867-mbps-tp-link-archer-c60,TP-Link
Archer C50 AC1200,"R$ 160,90",12889,https://www.buscape.com.br/modem-e-roteador/roteador-867-mbps-tp-link-archer-c50-ac1200,TP-Link
Tl-PA4010KIT,"R$ 901,00",11789,https://www.buscape.com.br/modem-e-roteador/repetidor-powerline-500-mbps-tp-link-tl-pa4010kit,TP-Link
TL-WA855RE,"R$ 126,00",10297,https://www.buscape.com.br/modem-e-roteador/repetidor-300-mbps-tp-link-tl-wa855re,TP-Link
Repetidor Wifi Mi Range Extender Pro Xiaomi,"R$ 96,50",10035,https://www.buscape.com.br/modem-e-roteador/repetidor-wifi-mi-range-extender-pro-xiaomi,
Smart Home AC1200,"R$ 699,99",9581,https://www.buscape.com.br/modem-e-roteador/roteador-wireless-dual-band-google-smart-home-ac1200,Google
