model,price,reviews,sells,url,vendor
,155.90,"8,746",3,https://produto.mercadolivre.com.br/MLB-1835350858-repetidor-tp-link-tl-wa850re-super-oferta-_JM,
,874.20,5,172,https://produto.mercadolivre.com.br/MLB-1738519117-kit-link-3g4g-amplimax-fit-apenas-dados-antcabosroteador-_JM,
,114.83,10,189,https://produto.mercadolivre.com.br/MLB-1626053543-repetidor-sinal-wifi-duas-antenas-1200m-24-ghz-pentrega-_JM,
,228.12,180,2,https://produto.mercadolivre.com.br/MLB-2612541347-roteador-ac-1200-com-4-antenas-mercusys-dual-band-barato-nfe-_JM,
,309.90,151,1,https://produto.mercadolivre.com.br/MLB-2662185103-roteador-wireless-d-link-dir-853-wi-fi-ac-dual-band-1300mbps-_JM,
,232.02,"1,661",4,https://produto.mercadolivre.com.br/MLB-1742922514-roteador-intelbras-action-rf-1200-preto-wi-fi-5-100v240v-_JM,
,106.39,812,51,https://produto.mercadolivre.com.br/MLB-2073464605-roteador-wireless-intelbras-rf-301k-_JM,
,189,155,9,https://produto.mercadolivre.com.br/MLB-1378842068-roteador-wi-fi-cisco-linksys-e900-br-300mbps-24ghz-n300-_JM,
,50,812,25,https://produto.mercadolivre.com.br/MLB-1718692046-roteador-intelbras-rf-301k-_JM,
,2559,"4,972",6,https://produto.mercadolivre.com.br/MLB-2657476000-tplink-archer-c20-_JM,
,420,"2,462",4,https://produto.mercadolivre.com.br/MLB-2681862853-10-roteador-tp-link-tl-wr840n-840n-com-fonte-e-garantias-_JM,
,519.23,712,5,https://produto.mercadolivre.com.br/MLB-2606210612-mikrotik-routerboard-rb-750gr3-hex-880mhz-256mb-l4-_JM,
,96.80,43,1098,https://produto.mercadolivre.com.br/MLB-1683264148-rapido-repetidor-sinal-wifi-600-mbps-amplificador-expansor-_JM,
,99.89,38,1049,https://produto.mercadolivre.com.br/MLB-1776196646-roteador-repetidor-wireless-sinal-wifi-300mbps-original-_JM,
,372.90,149,9,https://produto.mercadolivre.com.br/MLB-1861473903-roteador-wifi-mesh-tenda-mw3-ac-1200mbps-com-2-unidades-_JM,
